environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
cartPole,deepShap,DeletionCurve,mean,3,OK,23.773098945617676,0.027037620544433594,,0.62741,"[1.0, 1.0, 0.5922, 0.5922, 0.5, 0.5, 0.5, 0.664, 0.664, 0.5078, 0.5078]"
cartPole,deepShap,DeletionCurve,median,3,OK,23.773098945617676,0.044553518295288086,,0.60331,"[1.0, 1.0, 0.6324, 0.6324, 0.5048, 0.5048, 0.5048, 0.5078, 0.5078, 0.4922, 0.4922]"
cartPole,deepShap,DeletionCurve,zero,3,OK,23.773098945617676,0.05705714225769043,,0.6393500000000001,"[1.0, 1.0, 0.628, 0.628, 0.511, 0.511, 0.511, 0.6714, 0.6714, 0.5078, 0.5078]"
cartPole,tabularLime,AIM,,3,OK,157.03651428222656,0.018635988235473633,0.6104,,
cartPole,tabularLime,AUM,,3,OK,157.03651428222656,0.01627659797668457,0.4896,,
cartPole,tabularLime,PGI,,3,OK,157.03651428222656,0.7116286754608154,0.8604299540311098,,
cartPole,tabularLime,PGU,,3,OK,157.03651428222656,0.6984958648681641,0.6313254207968712,,
cartPole,tabularLime,RIS,,3,OK,157.03651428222656,149.5119297504425,8.716241253838835,,
cartPole,tabularLime,DeletionCurve,mean,3,OK,157.03651428222656,0.00752711296081543,,0.65465,"[1.0, 1.0, 0.6234, 0.6234, 0.57, 0.57, 0.57, 0.664, 0.664, 0.5078, 0.5078]"
cartPole,tabularLime,DeletionCurve,median,3,OK,157.03651428222656,0.01553797721862793,,0.60667,"[1.0, 1.0, 0.621, 0.621, 0.5236, 0.5236, 0.5236, 0.5078, 0.5078, 0.4922, 0.4922]"
cartPole,tabularLime,DeletionCurve,zero,3,OK,157.03651428222656,0.022536039352416992,,0.6725300000000001,"[1.0, 1.0, 0.6346, 0.6346, 0.6172, 0.6172, 0.6172, 0.6714, 0.6714, 0.5078, 0.5078]"
cartPole,integratedGradient,AIM,,3,OK,549.9417908191681,0.014565229415893555,0.5542,,
cartPole,integratedGradient,AUM,,3,OK,549.9417908191681,0.013506174087524414,0.622,,
cartPole,integratedGradient,PGI,,3,OK,549.9417908191681,0.6201486587524414,0.85809975502491,,
cartPole,integratedGradient,PGU,,3,OK,549.9417908191681,0.6528632640838623,0.5551318340420723,,
cartPole,integratedGradient,RIS,,3,OK,549.9417908191681,488.16470766067505,23.6060741412044,,
cartPole,integratedGradient,DeletionCurve,mean,3,OK,549.9417908191681,0.007019519805908203,,0.67055,"[1.0, 1.0, 0.5922, 0.5922, 0.6438, 0.6438, 0.6438, 0.664, 0.664, 0.5078, 0.5078]"
cartPole,integratedGradient,DeletionCurve,median,3,OK,549.9417908191681,0.013021707534790039,,0.6370900000000002,"[1.0, 1.0, 0.6324, 0.6324, 0.6174, 0.6174, 0.6174, 0.5078, 0.5078, 0.4922, 0.4922]"
cartPole,integratedGradient,DeletionCurve,zero,3,OK,549.9417908191681,0.019521236419677734,,0.6774500000000001,"[1.0, 1.0, 0.628, 0.628, 0.638, 0.638, 0.638, 0.6714, 0.6714, 0.5078, 0.5078]"
