environment,method,metric,metric_impl,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
breakOut,perturbationSaliency,PGU,ImagePGU,,3,OK,1384.1134083271027,0.2693305015563965,0.0,,
breakOut,perturbationSaliency,RIS,ImageRIS,,3,OK,1384.1134083271027,1174.2108867168427,0.010026893865849084,,
breakOut,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,1384.1134083271027,0.19976496696472168,,0.4159797399549118,"[1.         0.36959769 0.30762688 0.3198331  0.31325062 0.47671046
 0.43833676 0.60248241 0.        ]"
breakOut,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,1384.1134083271027,0.38899755477905273,,0.3270246771342688,"[1.         0.26711442 0.32347816 0.29574965 0.31114997 0.37604086
 0.26559029 0.27707408 0.        ]"
breakOut,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,1384.1134083271027,0.5517706871032715,,0.3270246771342688,"[1.         0.26711442 0.32347816 0.29574965 0.31114997 0.37604086
 0.26559029 0.27707408 0.        ]"
breakOut,sarfa,AIM,ImageAIM,,3,OK,1413.091115474701,0.09095191955566406,0.3079,,
breakOut,sarfa,AUM,ImageAUM,,3,OK,1413.091115474701,0.08354735374450684,0.3363,,
breakOut,sarfa,PGU,ImagePGU,,3,OK,1413.091115474701,0.24609947204589844,3.000710964202881,,
breakOut,sarfa,RIS,ImageRIS,,3,OK,1413.091115474701,1190.9724807739258,0.011412108930418866,,
breakOut,sarfa,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,1413.091115474701,0.17152643203735352,,0.35125561696279484,"[1.         0.23445482 0.31080989 0.35501425 0.31065372 0.34425423
 0.36368173 0.39117629 0.        ]"
breakOut,sarfa,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,1413.091115474701,0.33010435104370117,,0.3104250168250195,"[1.         0.24667714 0.27448754 0.30824237 0.29449464 0.28976574
 0.27429768 0.29543502 0.        ]"
breakOut,sarfa,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,1413.091115474701,0.46227335929870605,,0.3104250168250195,"[1.         0.24667714 0.27448754 0.30824237 0.29449464 0.28976574
 0.27429768 0.29543502 0.        ]"
