environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
cartPole,sarfa,DeletionCurve,zero,3,OK,4.702396631240845,0.04805564880371094,,0.3631006684973691,"[1.0, 1.0, 0.5151819957413311, 0.5151819957413311, 0.2544233452709264, 0.2544233452709264, 0.2544233452709264, 0.1686863288391247, 0.1686863288391247, 0.0, 0.0]"
cartPole,deepShap,AIM,,3,OK,17.77209210395813,0.023526906967163086,0.5272,,
cartPole,deepShap,AUM,,3,OK,17.77209210395813,0.017998933792114258,0.5272,,
cartPole,deepShap,PGI,,3,OK,17.77209210395813,0.8459722995758057,0.8216587963879108,,
cartPole,deepShap,PGU,,3,OK,17.77209210395813,0.7124946117401123,0.5140192710876464,,
cartPole,deepShap,RIS,,3,OK,17.77209210395813,12.683700323104858,7.059927815662111,,
cartPole,deepShap,DeletionCurve,mean,3,OK,17.77209210395813,0.01401519775390625,,0.42870008042256325,"[1.0, 1.0, 0.5165703759173302, 0.5165703759173302, 0.3674639586362153, 0.3674639586362153, 0.3674639586362153, 0.32573408824116284, 0.32573408824116284, 0.0, 0.0]"
cartPole,deepShap,DeletionCurve,median,3,OK,17.77209210395813,0.02806401252746582,,0.42881885172923806,"[1.0, 1.0, 0.590082023821826, 0.590082023821826, 0.4022972891391737, 0.4022972891391737, 0.4022972891391737, 0.20056630111560347, 0.20056630111560347, 0.0, 0.0]"
cartPole,deepShap,DeletionCurve,zero,3,OK,17.77209210395813,0.040617942810058594,,0.4618230462647348,"[1.0, 1.0, 0.5767547069306215, 0.5767547069306215, 0.41543373946008594, 0.41543373946008594, 0.41543373946008594, 0.3592099152029234, 0.3592099152029234, 0.0, 0.0]"
cartPole,tabularLime,AIM,,3,OK,155.2565701007843,0.02052164077758789,0.607,,
cartPole,tabularLime,AUM,,3,OK,155.2565701007843,0.01851940155029297,0.4906,,
cartPole,tabularLime,PGI,,3,OK,155.2565701007843,0.7572660446166992,0.837401488250494,,
cartPole,tabularLime,PGU,,3,OK,155.2565701007843,0.693124532699585,0.6692859784543514,,
cartPole,tabularLime,RIS,,3,OK,155.2565701007843,149.02034664154053,6.254790262045988,,
cartPole,tabularLime,DeletionCurve,mean,3,OK,155.2565701007843,0.012001752853393555,,0.4024759296420866,"[1.0, 1.0, 0.5612972599725549, 0.5612972599725549, 0.39864708234540813, 0.39864708234540813, 0.39864708234540813, 0.1031117647197659, 0.1031117647197659, 0.0, 0.0]"
cartPole,tabularLime,DeletionCurve,median,3,OK,155.2565701007843,0.023006916046142578,,0.4022547538064967,"[1.0, 1.0, 0.5986889779252477, 0.5986889779252477, 0.3896164371005121, 0.3896164371005121, 0.3896164371005121, 0.07816013545646754, 0.07816013545646754, 0.0, 0.0]"
cartPole,tabularLime,DeletionCurve,zero,3,OK,155.2565701007843,0.03351783752441406,,0.41294124171402086,"[1.0, 1.0, 0.5723689819119777, 0.5723689819119777, 0.3995492262039474, 0.3995492262039474, 0.3995492262039474, 0.14301338735220534, 0.14301338735220534, 0.0, 0.0]"
cartPole,integratedGradient,AIM,,3,OK,552.1363019943237,0.013018608093261719,0.5542,,
cartPole,integratedGradient,AUM,,3,OK,552.1363019943237,0.009006500244140625,0.622,,
cartPole,integratedGradient,PGI,,3,OK,552.1363019943237,0.49864673614501953,0.85809975502491,,
cartPole,integratedGradient,PGU,,3,OK,552.1363019943237,0.44721198081970215,0.5551318340420723,,
cartPole,integratedGradient,RIS,,3,OK,552.1363019943237,491.19660472869873,23.6060741412044,,
cartPole,integratedGradient,DeletionCurve,mean,3,OK,552.1363019943237,0.010111570358276367,,0.424082623320169,"[1.0, 1.0, 0.5165703759173302, 0.5165703759173302, 0.3812583550349685, 0.3812583550349685, 0.3812583550349685, 0.28195520813106184, 0.28195520813106184, 0.0, 0.0]"
cartPole,integratedGradient,DeletionCurve,median,3,OK,552.1363019943237,0.020224571228027344,,0.39866011389493117,"[1.0, 1.0, 0.590082023821826, 0.590082023821826, 0.3335527805299126, 0.3335527805299126, 0.3335527805299126, 0.15288937485796103, 0.15288937485796103, 0.0, 0.0]"
cartPole,integratedGradient,DeletionCurve,zero,3,OK,552.1363019943237,0.029742956161499023,,0.4537998885486056,"[1.0, 1.0, 0.5767547069306215, 0.5767547069306215, 0.41703892235049334, 0.41703892235049334, 0.41703892235049334, 0.3166863522866664, 0.3166863522866664, 0.0, 0.0]"
